system:index,system:index,VPD
1990,3,1.13637153
1990,4,1.006996719
1990,5,0.70493544
1990,6,0.752035752
1990,7,0.876409398
1990,8,1.43209986
1990,9,1.207476928
1990,10,1.267529508
1990,11,1.232855091
1990,12,1.037748573
1991,1,0.894313362
1991,2,0.906628255
1991,3,0.861206177
1991,4,0.933343569
1991,5,0.917489097
1991,6,1.007353554
1991,7,1.248129437
1991,8,1.675368393
1991,9,1.515322243
1991,10,1.305286231
1991,11,0.989858398
1991,12,1.054055131
1992,1,0.946742512
1992,2,0.818644146
1992,3,0.780936911
1992,4,0.743280109
1992,5,0.785618142
1992,6,1.13305605
1992,7,0.995237352
1992,8,1.210096177
1992,9,0.868596992
1992,10,0.952521893
1992,11,0.913336714
1992,12,0.952026011
1993,1,1.163924309
1993,2,0.944570445
1993,3,1.100270478
1993,4,0.929565906
1993,5,1.114513155
1993,6,1.070779522
1993,7,1.281525738
1993,8,1.471410866
1993,9,1.592944036
1993,10,1.514280852
1993,11,1.521099049
1993,12,1.196585775
1994,1,1.10030949
1994,2,0.934673191
1994,3,0.972535555
1994,4,0.922251774
1994,5,1.047024338
1994,6,1.03280057
1994,7,1.218808664
1994,8,1.879560205
1994,9,2.057260523
1994,10,1.477665699
1994,11,1.369300107
1994,12,0.998369344
1995,1,0.836761992
1995,2,0.824808548
1995,3,0.936946676
1995,4,0.938834468
1995,5,0.803671709
1995,6,1.18552431
1995,7,1.479375231
1995,8,2.015203364
1995,9,2.187790497
1995,10,1.46826281
1995,11,1.17925004
1995,12,1.027737974
1996,1,0.974776936
1996,2,1.115079967
1996,3,0.850591585
1996,4,0.978812378
1996,5,0.824564955
1996,6,0.962649688
1996,7,1.341477186
1996,8,1.675749324
1996,9,1.300064106
1996,10,1.266429297
1996,11,0.931812278
1996,12,1.169196422
1997,1,0.874499455
1997,2,0.83013376
1997,3,0.827929044
1997,4,0.84718617
1997,5,0.977047493
1997,6,0.865304428
1997,7,1.333953065
1997,8,1.628546
1997,9,1.871902764
1997,10,1.713664464
1997,11,1.503902269
1997,12,1.158949951
1998,1,1.2485269
1998,2,0.932614784
1998,3,0.869415846
1998,4,0.884478411
1998,5,0.953344803
1998,6,1.057595284
1998,7,1.517076185
1998,8,1.22029853
1998,9,1.361928756
1998,10,1.220020262
1998,11,0.956391054
1998,12,1.065621333
1999,1,1.074656169
1999,2,1.091696762
1999,3,0.781947685
1999,4,0.987161389
1999,5,1.142330579
1999,6,1.089377019
1999,7,1.288921878
1999,8,2.0520333
1999,9,1.983813607
1999,10,1.773491107
1999,11,1.296460804
1999,12,1.03573021
2001,1,1.075558953
2001,2,1.102172203
2001,3,0.885489759
2001,4,1.149134177
2001,5,0.855283372
2001,6,1.071537844
2001,7,1.445980985
2001,8,2.202676465
2001,9,1.888515625
2001,10,1.454020871
2001,11,1.028836524
2001,12,0.95699859
2002,1,1.291202698
2002,2,0.837073821
2002,3,1.109884688
2002,4,1.269149328
2002,5,1.165181864
2002,6,1.275189312
2002,7,1.297982112
2002,8,2.035037756
2002,9,1.884879105
2002,10,2.303312134
2002,11,1.807308971
2002,12,1.402113717
2003,1,1.053496459
2003,2,1.100283886
2003,3,0.956993364
2003,4,0.943817008
2003,5,1.270679003
2003,6,1.363487495
2003,7,1.555346112
2003,8,1.738623292
2003,9,1.908169641
2003,10,1.541229729
2003,11,1.577032729
2003,12,1.133206454
2004,1,1.207561468
2004,2,1.09741306
2004,3,1.282137427
2004,4,1.167613869
2004,5,0.717200559
2004,6,1.165075186
2004,7,1.157428523
2004,8,1.869473601
2004,9,2.475066435
2004,10,1.691478558
2004,11,1.366214421
2004,12,1.353428672
2005,1,0.925736114
2005,2,1.259257872
2005,3,1.16960016
2005,4,1.241395647
2005,5,1.253447548
2005,6,1.308148435
2005,7,1.440227253
2005,8,2.288211355
2005,9,1.791818067
2005,10,1.505470307
2005,11,1.152964203
2005,12,1.084211611
2006,1,1.005829967
2006,2,1.107776095
2006,3,0.984511807
2006,4,0.927654898
2006,5,1.180166335
2006,6,1.375741848
2006,7,1.7074953
2006,8,2.094531645
2006,9,1.837465979
2006,10,1.162386307
2006,11,1.345467806
2006,12,0.883772019
2007,1,0.840989781
2007,2,0.818263615
2007,3,1.167860282
2007,4,1.308448517
2007,5,1.237289056
2007,6,1.479453799
2007,7,1.40876967
2007,8,1.797459792
2007,9,2.701006696
2007,10,1.747046242
2007,11,1.075928813
2007,12,0.954846315
2008,1,0.767997719
2008,2,0.925940451
2008,3,0.892895423
2008,4,0.958319731
2008,5,1.020701154
2008,6,0.995149731
2008,7,1.805264628
2008,8,1.987686786
2008,9,2.111640209
2008,10,1.640717185
2008,11,1.358818466
2008,12,1.334020022
2009,1,1.359869463
2009,2,1.030732597
2009,3,0.973338687
2009,4,1.316411228
2009,5,1.214270279
2009,6,1.022003684
2009,7,1.238320168
2009,8,1.705044394
2009,9,1.735553426
2009,10,1.656750234
2009,11,1.647035037
2009,12,1.088640209
2010,1,1.016225937
2010,2,1.067578361
2010,3,1.133520791
2010,4,1.345475987
2010,5,1.099973577
2010,6,1.476342455
2010,7,1.532578767
2010,8,2.202476549
2010,9,2.421910238
2010,10,1.632979511
2010,11,1.372973749
2010,12,1.594070657
2011,1,0.961507813
2011,2,0.81039539
2011,3,0.756063263
2011,4,0.965407386
2011,5,1.155431539
2011,6,1.236418078
2011,7,1.464730197
2011,8,1.982419583
2011,9,2.234332621
2011,10,1.601462171
2011,11,1.717707476
2011,12,1.307966396
2012,1,1.114445981
2012,2,0.992001127
2012,3,1.057135946
2012,4,0.877259486
2012,5,0.917968961
2012,6,0.905863096
2012,7,1.219505905
2012,8,2.124690477
2012,9,2.479259594
2012,10,1.984318735
2012,11,1.101727593
2012,12,1.256146616
2013,1,1.293072283
2013,2,1.132333031
2013,3,1.135798458
2013,4,1.047468935
2013,5,1.139646
2013,6,0.883476833
2013,7,1.322795625
2013,8,1.934331039
2013,9,1.932020217
2013,10,1.237711226
2013,11,1.353188004
2013,12,1.241488408
2014,1,1.031229258
2014,2,0.960891634
2014,3,0.829033808
2014,4,0.988285
2014,5,0.833524919
2014,6,0.924773893
2014,7,1.10892057
2014,8,1.747553446
2014,9,1.971618392
2014,10,2.109273984
2014,11,1.161500048
2014,12,1.087783009
2015,1,1.380380715
2015,2,1.055054385
2015,3,1.01317698
2015,4,0.841318491
2015,5,0.728191622
2015,6,1.042726636
2015,7,1.048405928
2015,8,2.112225972
2015,9,1.962223365
2015,10,1.655199728
2015,11,1.412648393
2015,12,1.383054394
2016,1,1.113625764
2016,2,1.038470552
2016,3,0.949679554
2016,4,1.32053834
2016,5,0.875614237
2016,6,0.891361092
2016,7,1.624874943
2016,8,1.799664918
2016,9,1.827104649
2016,10,1.697400121
2016,11,1.216887173
2016,12,1.114400045
2017,1,1.372899587
2017,2,1.017059032
2017,3,0.892749508
2017,4,0.844470071
2017,5,0.810573944
2017,6,1.077677281
2017,7,1.599253566
2017,8,1.821955523
2017,9,2.399844779
2017,10,1.721113591
2017,11,1.20214795
2017,12,0.97962215
2018,1,0.97104475
2018,2,0.884302679
2018,3,0.878953531
2018,4,1.067939454
2018,5,1.221600736
2018,6,1.038665887
2018,7,1.453362387
2018,8,1.548004099
2018,9,1.843987367
2018,10,1.261216667
2018,11,0.944105629
2018,12,1.340951324
2019,1,1.500811202
2019,2,1.319302331
2019,3,1.096722035
2019,4,0.919362877
2019,5,0.942589287
2019,6,1.461154731
2019,7,1.477831193
2019,8,2.050364164
2019,9,2.472115584
2019,10,1.969901091
2019,11,1.649171726
2019,12,1.17904771
2020,1,1.481947819
2020,2,1.074302703
2020,3,1.63206343
2020,4,1.575384091
2020,5,1.265217625
2020,6,1.375761048
2020,7,1.761422917
2020,8,2.342871038
2020,9,2.763372766
2020,10,2.555264707
2020,11,2.2860805
2020,12,1.69461602
2021,1,1.144645165
2021,2,1.297944972
2021,3,1.126510386
2021,4,1.219375826
2021,5,1.330562428
2021,6,1.169490122
2021,7,1.872668594
2021,8,2.3572032
2021,9,2.79821194
2021,10,2.036481369
2021,11,1.185342739
2021,12,1.379250223
2022,1,1.57079102
2022,2,1.300025168
2022,3,1.172837825
2022,4,1.506955987
2022,5,1.365392901
2022,6,1.161374925
2022,7,2.053910896
2022,8,1.894475835
2022,9,2.051294
2022,10,1.482718608
2022,11,2.075104706
2022,12,1.542540877
